,loss
0,0.9392709732055664
1,1.2956994771957397
2,0.5415251851081848
3,0.9804802536964417
4,0.6957175135612488
5,0.6884179711341858
6,0.7029757499694824
7,0.8085020780563354
8,0.7511023283004761
9,0.6064578294754028
10,0.6192378997802734
11,0.8668511509895325
12,1.1398743391036987
13,0.5696105360984802
14,0.5344594717025757
15,0.2918575704097748
16,0.6192293167114258
17,0.664461076259613
18,0.7146296501159668
19,0.512923538684845
20,0.8282198309898376
21,0.35391765832901
22,0.5890181064605713
23,0.8022031784057617
24,0.5691196322441101
25,0.6289101839065552
26,0.7483500838279724
27,0.6026479601860046
28,0.4638957977294922
29,0.5226942300796509
30,0.9495457410812378
31,0.3847651183605194
32,0.41155436635017395
33,0.8288102746009827
34,0.5023766756057739
35,0.6088181138038635
36,0.5936074256896973
37,0.6991069316864014
38,0.3925243020057678
39,0.7618094086647034
40,0.6050941348075867
41,0.8618981838226318
42,0.5916000604629517
43,0.4375211000442505
44,0.45778265595436096
45,0.4820120930671692
46,0.4297410547733307
47,0.519316554069519
48,0.4581775665283203
49,0.46306073665618896
50,0.6746887564659119
51,0.5143259167671204
52,0.45643219351768494
53,0.7415522933006287
54,0.437463641166687
55,0.5391714572906494
56,0.5764796733856201
57,0.5643607974052429
58,0.6060474514961243
59,0.4953506588935852
60,0.6868548393249512
61,0.5126132965087891
62,0.5401292443275452
63,0.5669612288475037
64,0.6166936159133911
65,0.6329786777496338
66,0.4471275806427002
67,0.676529586315155
68,0.5116289258003235
69,0.7016953825950623
70,0.8396710753440857
71,0.6252029538154602
72,0.6131980419158936
73,0.4363566040992737
74,0.5187504291534424
75,0.6076910495758057
76,0.5646137595176697
77,0.3152005672454834
78,0.6923168301582336
79,0.4149262011051178
80,0.7617496848106384
81,0.604189395904541
82,0.5436948537826538
83,0.5469380021095276
84,0.5077416300773621
85,0.6321729421615601
86,0.5100364685058594
87,0.4898297190666199
88,0.4998668134212494
89,0.35349661111831665
90,0.4143020212650299
91,0.69557124376297
92,0.831734299659729
93,0.5646379590034485
94,0.44062402844429016
95,0.4839344918727875
96,0.5686811804771423
97,0.5993083119392395
98,0.45865219831466675
99,0.5753489136695862
100,0.5659437775611877
101,0.5041446685791016
102,0.4855213761329651
103,0.6215913891792297
104,0.6005333662033081
105,0.6226648092269897
106,0.45877203345298767
107,0.7009215950965881
108,0.38882729411125183
109,0.6518621444702148
110,0.422897070646286
111,0.5026262402534485
112,0.5051838755607605
113,0.6930885910987854
114,0.5364145040512085
115,0.699661374092102
116,0.5344129800796509
117,0.7521828413009644
118,0.47252535820007324
119,0.6230176687240601
120,0.5216056704521179
