,loss
0,1.0611631870269775
1,1.3178455829620361
2,0.8957949280738831
3,1.742218255996704
4,0.8118987679481506
5,1.0558300018310547
6,1.2932214736938477
7,1.5492066144943237
8,1.1797595024108887
9,0.9985832571983337
10,0.8476181030273438
11,1.2933106422424316
12,0.4380345940589905
13,0.9778080582618713
14,1.1398612260818481
15,0.9624236226081848
16,0.8882489800453186
17,0.963346004486084
18,0.6977565288543701
19,0.8862907886505127
20,0.991632342338562
21,0.7829155921936035
22,1.0871260166168213
23,1.0043243169784546
24,1.0184482336044312
25,0.8950022459030151
26,0.695035994052887
27,0.8662394881248474
28,0.9339845776557922
29,1.1513065099716187
30,0.7361414432525635
31,0.8463639616966248
32,0.9352490901947021
33,0.8975093960762024
34,0.7336298227310181
35,0.7563511729240417
36,0.8484358191490173
37,0.8782327175140381
38,0.8800058960914612
39,0.6382328867912292
40,0.9357528686523438
41,0.4676920473575592
42,0.8026429414749146
43,0.8590315580368042
44,0.7697677612304688
45,0.8228834867477417
46,0.6208064556121826
47,0.6477335691452026
48,0.6450353264808655
49,0.6985332369804382
50,0.8067935109138489
51,0.49362266063690186
52,0.7555997371673584
53,1.036441683769226
54,0.8829095363616943
55,0.8359061479568481
56,0.7939402461051941
57,0.6407418847084045
58,0.8016766309738159
59,0.5549798011779785
60,0.7779312133789062
61,0.9632686972618103
62,0.7884634733200073
63,1.0271919965744019
64,0.9165729880332947
65,0.6664923429489136
66,0.909656822681427
67,0.8645904064178467
68,0.8101082444190979
69,0.7924764752388
70,0.6393952965736389
71,0.9832684397697449
72,0.6444026827812195
73,1.16371750831604
74,0.8311305642127991
75,0.732963502407074
76,0.6752939820289612
77,0.8611366152763367
78,0.48975852131843567
79,0.8206538558006287
80,0.641399085521698
81,0.9033712148666382
82,0.6040228009223938
83,0.5025072693824768
84,0.7535963654518127
85,0.690185546875
86,0.9808183312416077
87,0.5792898535728455
88,0.8749967813491821
89,0.6252375841140747
90,0.9395803213119507
91,0.6150033473968506
92,0.7815191745758057
93,0.8220890760421753
94,0.6926998496055603
95,0.9218534827232361
96,0.8064403533935547
97,0.8966997861862183
98,0.6701722145080566
99,0.6502995491027832
100,0.631298840045929
101,0.3837650716304779
102,0.7062068581581116
103,0.5050429105758667
104,0.6672546863555908
105,0.5420994758605957
106,0.6724717617034912
107,0.654120922088623
108,0.4352439045906067
109,0.5694960355758667
110,0.5126097202301025
111,0.6280858516693115
112,0.6381103992462158
113,0.9256718754768372
114,0.743538498878479
115,0.7308053970336914
116,0.44274625182151794
117,0.7898283004760742
118,0.950687825679779
119,0.62586510181427
120,0.698930561542511
121,0.49719753861427307
122,0.6115472316741943
123,0.7920374274253845
124,0.633729100227356
125,0.516423225402832
126,0.426986426115036
127,0.7080315351486206
128,0.5091103315353394
129,0.8249748945236206
130,0.6785679459571838
131,0.9022877216339111
132,0.716579020023346
133,0.42311304807662964
134,0.7116125226020813
135,0.628161609172821
136,0.7548695206642151
137,0.7448207139968872
138,0.7917585968971252
139,0.5425601005554199
140,0.33236467838287354
141,0.5374778509140015
142,0.42774131894111633
143,0.6662826538085938
144,0.7670494914054871
145,0.6802371740341187
146,0.7173886895179749
147,0.6227119565010071
148,0.6397071480751038
149,0.7965103387832642
150,0.6741494536399841
151,0.6452668309211731
152,0.7000274658203125
153,0.9377008080482483
154,0.4790259003639221
155,0.3471015989780426
156,0.6548423767089844
157,0.6065407395362854
158,0.543920636177063
159,0.5494109988212585
160,0.5771588683128357
161,0.6232761740684509
162,0.5863862633705139
163,0.7157129645347595
164,0.7157491445541382
165,0.6775732040405273
166,0.9132859110832214
167,0.8468150496482849
168,0.8620120286941528
169,0.47676798701286316
170,0.48767444491386414
171,0.6916911005973816
172,0.6489755511283875
173,0.8766880631446838
174,0.38751867413520813
175,0.7074353098869324
176,0.47500115633010864
177,0.6785682439804077
178,0.6106153726577759
179,0.5996670126914978
180,0.5088009834289551
181,0.5085672736167908
182,0.7077013850212097
183,0.7493438720703125
184,0.6858371496200562
185,0.7145199775695801
186,0.5771539211273193
187,0.600492000579834
188,0.6240575313568115
189,0.6456001400947571
190,0.6548182964324951
191,0.4842970669269562
192,0.5212010741233826
193,0.4065614342689514
194,0.5932990908622742
195,0.6694814562797546
196,0.4761534035205841
197,0.5934376120567322
198,0.621838390827179
199,0.491007536649704
200,0.840034544467926
201,0.48024484515190125
202,0.6165481209754944
203,0.9822714328765869
204,0.5207734107971191
205,0.5828776955604553
206,0.5660487413406372
207,0.6677064895629883
208,0.4289698302745819
209,0.7399963140487671
210,0.45676189661026
211,0.4713820517063141
212,0.4505968689918518
213,0.4682554304599762
214,0.7387455105781555
215,0.49706825613975525
216,0.6383737921714783
217,0.4627072215080261
218,0.6316596865653992
219,0.4601091742515564
220,0.6904463171958923
221,0.47196391224861145
222,0.6000679731369019
223,0.5931556820869446
224,0.6115213632583618
225,0.5050597190856934
226,0.7598190903663635
227,0.7638915777206421
228,0.582543671131134
229,0.4915233850479126
230,0.5220586657524109
231,0.6651387810707092
232,0.5155705809593201
233,0.48935166001319885
234,0.5989333987236023
235,0.5855439901351929
236,0.4232636094093323
237,0.6978597044944763
238,0.5539951920509338
239,0.5899073481559753
240,0.5315691828727722
241,0.7066330909729004
242,0.5436456799507141
243,0.4790274202823639
244,0.5266584753990173
245,0.5520761609077454
246,0.4370013177394867
247,0.6765045523643494
248,0.44902005791664124
249,0.860714316368103
250,0.4295990467071533
251,0.5805094838142395
252,0.47459691762924194
253,0.622974157333374
254,0.6116216778755188
255,0.5498373508453369
256,0.4219357669353485
257,0.4137977957725525
258,0.45508357882499695
259,0.5954182147979736
