,loss
0,9.121752738952637
1,4.1015424728393555
2,8.696409225463867
3,9.115266799926758
4,6.215450763702393
5,6.311567306518555
6,6.785197734832764
7,3.208521604537964
8,6.687530994415283
9,4.624715328216553
10,5.68086051940918
11,6.262016296386719
12,7.932344436645508
13,5.144870281219482
14,5.972696781158447
15,6.7668962478637695
16,3.3383474349975586
17,5.130114555358887
18,6.985351085662842
19,5.008347511291504
20,5.721292495727539
21,3.0101616382598877
22,4.2971930503845215
23,4.703399658203125
24,3.9215898513793945
25,5.888235092163086
26,4.130560874938965
27,3.836576461791992
28,5.469700813293457
29,3.8077597618103027
30,4.246467590332031
31,3.51574969291687
32,4.404301643371582
33,4.72266960144043
34,3.2652218341827393
35,3.0029215812683105
36,3.582340955734253
37,3.5956382751464844
38,5.080995082855225
39,2.7345361709594727
40,3.2546489238739014
41,2.7073702812194824
42,3.8233654499053955
43,3.0028209686279297
44,3.68241548538208
45,3.0819332599639893
46,2.7516140937805176
47,2.2698960304260254
48,2.6720783710479736
49,3.337092876434326
50,2.761005401611328
51,2.56353497505188
52,2.9196455478668213
53,2.761488914489746
54,2.8502771854400635
55,2.927539110183716
56,2.382037878036499
57,2.245272636413574
58,2.34549880027771
59,3.1116061210632324
60,2.0425164699554443
61,3.180962562561035
62,1.8895937204360962
63,2.248695135116577
64,1.9374490976333618
65,2.481367826461792
66,2.3026583194732666
67,2.127685785293579
68,2.5998919010162354
69,2.522817850112915
70,1.9589931964874268
71,2.218940258026123
72,2.2326247692108154
73,2.6949737071990967
74,1.8626103401184082
75,2.265016555786133
76,2.2181336879730225
77,1.5450993776321411
78,1.591027021408081
79,2.3278915882110596
80,1.909963607788086
81,2.626643657684326
82,1.8901580572128296
83,1.942788004875183
84,1.9892492294311523
85,2.0747363567352295
86,2.1778130531311035
87,2.2021865844726562
88,1.6752047538757324
89,2.592456817626953
90,2.730180263519287
91,2.0969111919403076
92,1.9993860721588135
93,1.6774647235870361
94,2.1608283519744873
95,2.3901162147521973
96,1.588690996170044
97,1.765723705291748
98,2.358635902404785
99,1.9045054912567139
100,1.642433762550354
101,1.706715703010559
102,1.6776834726333618
103,1.3859078884124756
104,1.8267998695373535
105,1.9604394435882568
106,1.7266064882278442
107,1.6666033267974854
108,1.862647294998169
109,1.7301390171051025
110,1.7074190378189087
111,1.5450661182403564
112,1.5612664222717285
113,1.881862998008728
114,1.2172578573226929
115,2.3170418739318848
116,2.2590203285217285
117,1.4968552589416504
118,1.654937982559204
119,1.7837766408920288
120,1.580155849456787
121,2.1638023853302
122,1.7487430572509766
123,1.4553474187850952
124,1.5924063920974731
125,1.9533867835998535
126,1.4674221277236938
127,1.6938148736953735
128,1.3755637407302856
129,2.04638671875
130,1.8094600439071655
131,1.2851842641830444
132,1.5906481742858887
133,1.5814067125320435
134,1.4733444452285767
135,1.6635267734527588
136,1.6951618194580078
137,1.4170682430267334
138,1.575891375541687
139,1.6117370128631592
140,1.6771519184112549
141,0.9352871179580688
142,1.3551459312438965
143,1.6506904363632202
144,1.2097182273864746
145,1.6036866903305054
146,1.409821629524231
147,1.4038225412368774
148,1.107417345046997
149,1.2896586656570435
150,1.4531577825546265
151,1.4958653450012207
152,1.513440728187561
153,1.3201878070831299
154,1.3924009799957275
155,1.5743409395217896
156,1.5961898565292358
157,1.186133623123169
158,1.3521543741226196
159,1.4668960571289062
160,1.785845160484314
161,1.0912824869155884
162,1.2101185321807861
163,1.3039876222610474
164,1.399118423461914
165,1.3452609777450562
166,0.8308744430541992
167,0.938521146774292
168,1.2218353748321533
169,1.727159023284912
170,1.3760011196136475
171,1.346974492073059
172,1.1582365036010742
173,1.358284831047058
174,1.1837040185928345
175,1.6153556108474731
176,1.3531216382980347
177,1.1977310180664062
178,1.344864845275879
179,1.099729299545288
180,1.7599071264266968
181,0.894670844078064
182,1.1649938821792603
183,1.071067214012146
184,1.157568335533142
185,0.8191086649894714
186,0.9501595497131348
187,1.089249610900879
188,1.091644525527954
189,1.2333018779754639
190,1.2267833948135376
191,1.393652081489563
192,1.2944034337997437
193,1.1134281158447266
194,0.8317331075668335
195,0.6113941073417664
196,1.3454344272613525
197,1.0253775119781494
198,1.1062757968902588
199,1.2757707834243774
200,1.0608665943145752
201,1.4012254476547241
202,1.0319575071334839
203,1.236223578453064
204,1.180458426475525
205,0.7734236717224121
206,1.2798805236816406
207,0.8834843039512634
208,1.159944772720337
209,0.9257951974868774
210,1.0106207132339478
211,1.379007339477539
212,1.1480202674865723
213,1.0162667036056519
214,0.6843377947807312
215,1.0536853075027466
216,1.2467457056045532
217,0.9070899486541748
218,1.0599048137664795
219,1.211267352104187
220,0.6771965026855469
221,1.140923023223877
222,1.1886649131774902
223,1.067835807800293
224,1.0600409507751465
225,1.0186772346496582
226,1.1095988750457764
227,0.7292813658714294
228,1.1100692749023438
229,0.910724401473999
230,0.8862711191177368
231,1.295301914215088
232,0.9729349613189697
233,1.0246580839157104
234,0.9241496324539185
235,1.1780261993408203
236,1.2595716714859009
237,0.8539098501205444
238,1.3474420309066772
239,0.9636273384094238
240,1.196635127067566
241,1.182974100112915
242,1.109984040260315
243,0.7764744758605957
244,1.0223681926727295
245,0.9618080854415894
246,1.0365512371063232
247,0.9378163814544678
248,1.11298406124115
249,1.1495561599731445
250,0.8261632323265076
251,1.1092368364334106
252,0.8897672295570374
253,0.8865249752998352
254,0.9981452822685242
255,1.0581876039505005
256,0.9041272401809692
257,1.1034756898880005
258,1.2590398788452148
259,0.5799375772476196
